SKU,CATEGORY,SUBCATEGORY,SOURCE,STORIS_CATG,BRAND,DESCRIPTION
RZ-PUFF-Q,Pillows,Memory Foam Pillows,"maker: memory-foam pillows (TEMPUR, Rize, Malouf Z, Ameri, bamboo shredded foam)",PILLOW,RIZE,QUEEN RZ PUFF COOL PILLOW
STFG4,Bed Frames,Metal Bed Frames,code: GROUP FRAMES,BED,RIZE,TWIN/FULL FRAME W/ GLIDES
TFQ9903,Bed Frames,Metal Bed Frames,code: GROUP FRAMES,BED,RIZE,TWIN/FULL/QUEEN METAL FRAME
MLPK,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,S&B,KING  myLATEX PILLOW
MLPQ,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,S&B,QUEEN myLATEX PILLOW
MLPS,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,S&B,STANDARD myLATEX PILLOW
MPCK,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,CAKING myPROTECTOR
MPF,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,FULL  myPROTECTOR
MPK,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,E KING  myPROTECTOR
MPQ,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,QUEEN  myPROTECTOR
MPSCK,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,SPLIT CK  myPROTECTOR 1-PC
MPT,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,TWIN  myPROTECTOR
MPTXL,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,TWINXL  myPROTECTOR
MWLTTX,Bedding,Toppers & Mattress Pads,description: topper / pad,TOPBED,S&B,"TXL my WOOLLY LATEX TOPPER 3"""
OCPCK,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,CAKING ORGANIC PROTECTOR
OCPF,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,FULL  ORGANIC PROTECTOR
OCPT,Mattress Protection,Mattress Protectors,code: GROUP *PRO,PROT,S&B,TWIN  ORGANIC PROTECTOR
OSKSSW,Bedding,Sheet Sets,code: GROUP *SHE / description sheets,TOPBED,S&B,SPLIT E KINGOC SATEEN SHEET SET
OSZP,Mattress Protection,Pillow Protectors,code: GROUP PILPRO,PROT,S&B,STD ORGANIC PILLOW ENCASEMENT
SPLQ,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,S&B,QUEEN myLATEX SIDE-PILLOW
SPLS,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,S&B,STANDARD myLATEX SIDE-PILLOW
WCKMT,Bedding,Toppers & Mattress Pads,description: topper / pad,TOPBED,S&B,"CAKING myTOPPER 1.5"""
WQMT,Bedding,Toppers & Mattress Pads,description: topper / pad,TOPBED,S&B,"QUEEN myTOPPER 1.5"""
CK-CSHEET,Bedding,Sheet Sets,code: GROUP *SHE / description sheets,TOPBED,SAVVY,CAKING OG COTTON SHEET SET
CK-SEREN-ALLDUN,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,"CAKING SERENITY MATTRESS 10"""
K-CMP,Bedding,Toppers & Mattress Pads,description: mattress pad,PROT,SAVVY,E KING COTTON MATTRESS PAD
K-MOS10,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,"E KING MATTRESS 10"""
K-WMP,Bedding,Toppers & Mattress Pads,description: mattress pad,PROT,SAVVY,E KING WOOL MATTRESS PAD
Q-BR1,Bedding,Toppers & Mattress Pads,maker: Savvy Rest wool mattress rug is a topper,MATT,SAVVY,"QUEEN BED RUG 1"""
Q-F-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,QUEEN FIRM DUNLOP
Q-LWP,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,SAVVY,QUEEN LATEX-WOOL PILLOW
Q-M-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,QUEEN MEDIUM DUNLOP
Q-MDATFOUN9,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SAVVY,"QUEEN SAVVY FND 9"""
Q-OSM25D5T10,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,QUEEN ORGANIC SERENITY 10
Q-SEREN-ALLDUN,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,"QUEEN SERENITY MATTRESS 10"""
Q-SR-PLTBD,Bedroom Furniture,Beds & Bed Pieces,"description: bed, footboard, rails, decking, panel",FURN,SAVVY,QU AFTON PLAT BED (UNTREATED)
Q-SRCP,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,SAVVY,QUEEN CONTOUR PILLOW
Q-SRSSP,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,SAVVY,QUEEN SOAP SHAPE PILLOW
Q-SWT,Bedding,Toppers & Mattress Pads,description: topper / pad,TOPBED,SAVVY,QUEEN ORGANIC SAVVY WOOLSY
Q-TPKC,Pillows,Latex Pillows,"description/maker: latex (Savvy Rest, Sleep & Beyond myLatex, S&F Studio latex, S&F Lux Estate down-blend/latex)",PILLOW,SAVVY,QUEEN TALALAY PILLOW
SCAK-M-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT CK MEDIUM TALALAY
SCAK-S-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT CK SOFT DUNLOP
SCAK-S-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT CK  SOFT TALALAY
SQ-F-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT QUEEN FIRM DUNLOP
SQ-F-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT QUEEN FIRM TALALY
SQ-M-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT QUEEN MEDIUM DUNLOP
SQ-M-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,SPLIT QUEEN MEDIUM TALALY
TL-CMP,Bedding,Toppers & Mattress Pads,description: mattress pad,PROT,SAVVY,TWINXL COTTON MATTRESS PAD
TL-NTFOUN9,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SAVVY,"TWINXL FOUNDATION 9"""
TL-OSM10,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWIN LONG ORGANIC SERENITY 10
TL-OSM2D1T10,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWIN LONG ORGANIC SERENITY 10
TXL-F-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL FIRM DUNLOP
TXL-F-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL FIRM TALALAY
TXL-M-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL MEDIUM DUNLOP
TXL-OSM2D1T10,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL ORGANIC SERENITY 10
TXL-OSMPT4T,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL ORGANIC SERENITY PT 13
TXL-S-DUNLOP,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL SOFT DUNLOP
TXL-S-TALALAY,Mattresses,Latex,maker: Savvy Rest organic Dunlop/Talalay latex (layers and Serenity builds),MATT,SAVVY,TWINXL SOFT TALALAY
63017740,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SEALY,FULL ADJUST EASE 4.0
S40103,Store Supplies & Equipment,Showroom & Signage,description: showroom / signage,SUPPLY,SEALY,SEALY PILLOW GUARD (BOX OF 75)
SEALYBOX-STD-Q,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SEALY,"QUEEN SEALY FND 9"""
SEALYBOX-STD-TXL,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SEALY,"TWINXL SEALY FND 9"""
500826619-7550,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SERTA,QUEEN MOTION ESSENTIALS III
4000941-1070,Mattresses,Latex,storefront: Christelle II Natural Latex (Stress-O-Pedic/Restonic) listed under Latex,MATT,SOP,CAKING CHRISTELLE II XFIRM
999220-5010,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOP,"TWIN BLACK FND 9"""
25SBCOBEF_FP-3975,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWIN COBALT EXTRA-FIRM
25SBCOBEF_FP-5475,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL COBALT EXTRA-FIRM
25SBCOBEF_FP-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN COBALT EXTRA-FIRM
25SBCOBEF_FP-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING COBALT EXTRA-FIRM
25SBCOBEF_FP-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING COBALT EXTRA-FIRM
25SBCOBET-5475,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL COBALT EUROTOP
25SBCOBET_FP-5475,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL COBALT EUROTOP
25SBCOBET_FP-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN COBALT EUROTOP
25SBCOBET_FP-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING COBALT EUROTOP
25SBCOBET_FP-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING COBALT EUROTOP
25SBCOBF_FP-3975,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWIN COBALT FIRM
25SBCOBF_FP-3980,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWINXL COBALT FIRM
25SBCOBF_FP-5475,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL COBALT FIRM
25SBCOBF_FP-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN COBALT FIRM
25SBCOBF_FP-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING COBALT FIRM
25SBCOBF_FP-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING COBALT FIRM
25SBCOBM-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN COBALT MEDIUM
25SBCOBM_FP-3975,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWIN COBALT MEDIUM
25SBCOBM_FP-3980,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWINXL COBALT MEDIUM
25SBCOBM_FP-5475,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL COBALT MEDIUM
25SBCOBM_FP-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN COBALT MEDIUM
25SBCOBM_FP-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING COBALT MEDIUM
25SBCOBM_FP-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING COBALT MEDIUM
AC-2INCASTER-4PACK,Adjustable Bases,Base Accessories & Parts,"code: GROUP ADJBAS (remotes, legs, brackets, covers, cables)",ADJUST,SOUTH,"HD 2"" SCREW IN CASTER (SETx4)"
AC-HS-2INLEG-4PACK,Adjustable Bases,Base Accessories & Parts,"code: GROUP ADJBAS (remotes, legs, brackets, covers, cables)",ADJUST,SOUTH,"2"" SCREW IN LEG SET OF FOUR"
AC-HS980074-HB-BRKT,Adjustable Bases,Base Accessories & Parts,"code: GROUP ADJBAS (remotes, legs, brackets, covers, cables)",ADJUST,SOUTH,HEADBOARD BRACKET KIT
AC-LM-RF-ZG26-WHT,Adjustable Bases,Base Accessories & Parts,"code: GROUP ADJBAS (remotes, legs, brackets, covers, cables)",ADJUST,SOUTH,WIRELESS REMOTE FOR B26 BASE
IMC26HF0SBLK-3080,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,SPLIT QUEEN ADJUST B26 BASE
IMC26HF0SBLK-3684,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,SPLIT CK ADJUST SERIES B26
IMC26HF0SBLK-3974,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,TWIN ADJUST SERIES B26
IMC26HF0SBLK-3980,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,TWINXL ADJUST SERIES B26
IMC26HF0SBLK-5474,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,FULL ADJUST SERIES B26
IMC26HF0SBLK-5480,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,FULLXL ADJUST SERIES B26
IMC26HF0SBLK-6080,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,QUEEN ADJUST SERIES B26
IMC26HF0SBLK-7284,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,CAKING 1-PC ADJUST SERIES B26
IMC26HF0SBLK-7680,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,E KING 1-PC ADJUST SERIES B26
IMC94WH2BLK-6080,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,QUEEN ADJUST G94
IMC94WH2SBLK-3684,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,SPLIT CAKING ADJUST G94
IMC94WH2SBLK-3974,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,TWIN ADJUST G94
IMC94WH2SBLK-3980,Adjustable Bases,Adjustable Bed Bases,code: sized ADJ group,ADJUST,SOUTH,TWINXL ADJUST G94
OVATION,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN OVATION TT
SOUTHPROTOTYPE,Mattresses,,inferred: placeholder / prototype / unknown maker,MATT,SOUTH,QUEEN SOUTHERLAND PROTOTYPE
Z0LAPE2ET1-3684,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,SPLIT CK PRELUDE II E/T
Z0LAPE2ET1-3974,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWIN PRELUDE II E/T
Z0LAPE2ET1-3980,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWINXL PRELUDE II E/T
Z0LAPE2ET1-5474,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL PRELUDE II E/T
Z0LAPE2ET1-5480XL,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULLXL PRELUDE II E/T
Z0LAPE2ET1-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN PRELUDE II E/T
Z0LAPE2ET1-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING PRELUDE II E/T
Z0LAPE2ET1-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING PRELUDE II E/T
Z0LAPE2FT1-3974,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWIN PRELUDE II FIRM
Z0LAPE2FT1-3980,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,TWINXL PRELUDE II FIRM
Z0LAPE2FT1-5474,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULL PRELUDE II FIRM
Z0LAPE2FT1-5480XL,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,FULLXL PRELUDE II FIRM
Z0LAPE2FT1-6080,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,QUEEN PRELUDE II FIRM
Z0LAPE2FT1-7284,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,CAKING PRELUDE II FIRM
Z0LAPE2FT1-7680,Mattresses,Innerspring,"storefront/maker: Cobalt, Prelude II, Ovation innerspring",MATT,SOUTH,E KING PRELUDE II FIRM
Z0SGTT1PT1-6080,Mattresses,Hybrid,description: HYBRID (Tobert),MATT,SOUTH,QUEEN TOBERT ULTRA HYBRID
Z0WBBXX1W4-3080,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"SPLIT QU LP WILLETT BLK FND 4"""
Z0WBBXX1W4-3684,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"SPLIT CK LP WILLETT BLK FND 4"""
Z0WBBXX1W4-3974,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"TWIN LP WILLETT BLACK FND 4"""
Z0WBBXX1W4-3980,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"TWINXL LP WILLETT BLACK FND 4"""
Z0WBBXX1W4-5475,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"FULL LP WILLETT BLACK FND 4"""
Z0WBBXX1W4-5480,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"FULLXL WILLETT LP BLACK FND 4"""
Z0WBBXX1W4-6080,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"QUEEN LP WILLETT BLACK FND 4"""
Z0WBBXX1W9-3080,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"SPLIT QU WILLETT BLACK FND 9"""
Z0WBBXX1W9-3684,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"SPLIT CK WILLETT BLACK FND 9"""
Z0WBBXX1W9-3974,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"TWIN WILLETT BLACK FND 9"""
Z0WBBXX1W9-3980,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"TWINXL WILLETT BLACK FND 9"""
Z0WBBXX1W9-5474,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"FULL WILLETT BLACK FND 9"""
Z0WBBXX1W9-5480,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"FULLXL WILLETT BLACK FND 9"""
Z0WBBXX1W9-6080,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"QUEEN WILLETT BLACK FND 9"""
Z1ENGR1PP1-1824,Store Supplies & Equipment,Showroom & Signage,description: showroom / signage,SUPPLY,SOUTH,18X24 GRENADIER PT (DISPLAY)
Z2SAAY4PB1-3684,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,SPLIT CK ANNIVERSARY LATEX BT
Z2SAAY4PB1-3974,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWIN ANNIVERSARY LATEX BT
Z2SAAY4PB1-3980,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWINXL ANNIVERSARY LATEX BT
Z2SAAY4PB1-5474,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,FULL ANNIVERSARY LATEX BT
Z2SAAY4PB1-6080,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,QUEEN ANNIVERSARY LATEX BT
Z2SAAY4PB1-7284,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,CAKING ANNIVERSARY LATEX BT
Z2SAAY4PB1-7680,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,E KING ANNIVERSARY LATEX BT
Z2SACC4PE1-6080,Mattresses,Memory Foam,maker: Scandinavian Cool Comfort foam-core (Omni HD foam + copper latex + gel memory foam),MATT,SOUTH,QUEEN COOL COMFORT PLUSH
Z2SASM4FE1-3974,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWIN STOCKHOLM LATEX FM
Z2SASM4FE1-3980,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWINXL STOCKHOLM LATEX FM
Z2SASM4FE1-5474,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,FULL STOCKHOLM LATEX FM
Z2SASM4FE1-6080,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,QUEEN STOCKHOLM LATEX FM
Z2SASM4FE1-7284,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,CAKING STOCKHOLM LATEX FM
Z2SASM4FE1-7680,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,E KING STOCKHOLM LATEX FM
Z2SASM4PB1-3684,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,SPLIT CK SANDMAHN LATEX B/T
Z2SASM4PB1-3974,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWIN SANDMAHN LATEX B/T
Z2SASM4PB1-3980,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,TWINXL SANDMAHN LATEX B/T
Z2SASM4PB1-5474,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,FULL SANDMAHN LATEX B/T
Z2SASM4PB1-6080,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,QUEEN SANDMAHN LATEX B/T
Z2SASM4PB1-7284,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,CAKING SANDMAHN LATEX B/T
Z2SASM4PB1-7680,Mattresses,Latex,storefront: Scandinavian Collection natural latex line = Latex,MATT,SOUTH,E KING SANDMAHN LATEX B/T
Z6SBBXX1S4-3080,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"SPLIT QU SMOKEY BLACK FND 5"""
Z6SBBXX1S4-3684,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"SPLIT CK LP SMOKEY BLK FND 5"""
Z6SBBXX1S4-3974,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"TWIN LP SMOKEY BLACK FND 5"""
Z6SBBXX1S4-3980,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"TWINXL LP SMOKEY BLACK FND 5"""
Z6SBBXX1S4-5475,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"FULL LP SMOKEY BLACK FND 5"""
Z6SBBXX1S4-5480,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"FULLXL LP SMOKEY BLACK FND 5"""
Z6SBBXX1S4-6080,Foundations & Box Springs,"Low Profile (4–5"")","description: LP / 4"" / 5""",FOUND,SOUTH,"QUEEN LP SMOKEY BLACK FND 5"""
Z6SBBXX1S9-3080,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"SPLIT QU SMOKEY BLACK FND 9"""
Z6SBBXX1S9-3684,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"SPLIT CK SMOKEY BLACK FND 9"""
Z6SBBXX1S9-3974,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"TWIN SMOKEY BLACK FND 9"""
Z6SBBXX1S9-3980,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"TWINXL SMOKEY BLACK FND 9"""
Z6SBBXX1S9-5474,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"FULL SMOKEY BLACK FND 9"""
Z6SBBXX1S9-5480,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"FULLXL SMOKEY BLACK FND 9"""
Z6SBBXX1S9-6080,Foundations & Box Springs,"Standard Profile (8–9"")","description: 8""–9"" foundation",FOUND,SOUTH,"QUEEN SMOKEY BLACK FND 9"""
